\PL_NAME='WASP-33 b'
\SPEC_TYPE='Eclipse'
\INSTRUMENT='Wide Field Camera 3'
\FACILITY='Hubble Space Telescope satellite'
\NOTE='Table 7'
\REFERENCE='Haynes et al. 2015'
|CENTRALWAVELNG|BANDWIDTH|ESPECLIPDEP|ESPECLIPDEPERR1|ESPECLIPDEPERR2|ESPECLIPDEPLIM|ESPBRITEMP|ESPBRITEMPERR1|ESPBRITEMPERR2|ESPBRITEMPLIM|OBS_DATE|OBS_DATEERR1|OBS_DATEERR2|
|        double|   double|     double|         double|         double|          long|    double|        double|        double|         long|  double|      double|      double|
|       microns|  microns|          %|               |               |              |         K|              |              |             |    days|        days|        days|
|          null|     null|       null|           null|           null|          null|      null|          null|          null|         null|    null|        null|        null|
          1.135      null       0.105         0.00714        -0.00714              0       null           null           null             0     null         null         null 
          1.139      null       0.115         0.00725        -0.00725              0       null           null           null             0     null         null         null 
          1.144      null      0.0973         0.00779        -0.00779              0       null           null           null             0     null         null         null 
          1.149      null      0.0844         0.00706        -0.00706              0       null           null           null             0     null         null         null 
          1.153      null      0.0973         0.00709        -0.00709              0       null           null           null             0     null         null         null 
          1.158      null       0.115         0.00815        -0.00815              0       null           null           null             0     null         null         null 
          1.163      null       0.154         0.00953        -0.00953              0       null           null           null             0     null         null         null 
          1.168      null       0.138         0.00791        -0.00791              0       null           null           null             0     null         null         null 
          1.172      null       0.111         0.00833        -0.00833              0       null           null           null             0     null         null         null 
          1.177      null       0.105         0.00858        -0.00858              0       null           null           null             0     null         null         null 
          1.182      null      0.0932         0.00641        -0.00641              0       null           null           null             0     null         null         null 
          1.186      null       0.102          0.0106         -0.0106              0       null           null           null             0     null         null         null 
          1.191      null       0.105         0.00761        -0.00761              0       null           null           null             0     null         null         null 
          1.196      null       0.119         0.00758        -0.00758              0       null           null           null             0     null         null         null 
            1.2      null       0.108         0.00637        -0.00637              0       null           null           null             0     null         null         null 
          1.205      null       0.103         0.00909        -0.00909              0       null           null           null             0     null         null         null 
           1.21      null       0.112         0.00705        -0.00705              0       null           null           null             0     null         null         null 
          1.215      null        0.11         0.00663        -0.00663              0       null           null           null             0     null         null         null 
          1.219      null       0.103         0.00623        -0.00623              0       null           null           null             0     null         null         null 
          1.224      null       0.124          0.0108         -0.0108              0       null           null           null             0     null         null         null 
          1.229      null       0.095         0.00697        -0.00697              0       null           null           null             0     null         null         null 
          1.233      null      0.0994         0.00693        -0.00693              0       null           null           null             0     null         null         null 
          1.238      null      0.0841         0.00736        -0.00736              0       null           null           null             0     null         null         null 
          1.243      null      0.0889         0.00683        -0.00683              0       null           null           null             0     null         null         null 
          1.248      null      0.0898         0.00736        -0.00736              0       null           null           null             0     null         null         null 
